"Jour","Mois","Titre","Catégorie","Stat","Difficulté","Temps","Coût","Objectif","Pourquoi","Instructions","Variante facile","Variante difficile","Récompense","Statut","Validé","Date de validation","Ressenti"
"249","Mois 9","Reproduire un modèle à l'identique","Compétences","Savoir","6","50 min","0 €","Copier le plus fidèlement possible une œuvre ou un résultat réussi, modèle sous les yeux.","La copie consciente est l'accélérateur d'apprentissage le plus sous-estimé. En reproduisant, tu rencontres tous les choix invisibles que l'auteur a faits — et que tu n'aurais jamais remarqués en spectateur.","1. Choisis un exemple concret et accessible (un plat, un dessin, un morceau, un texte, un bout de code). 2. Reproduis-le étape par étape, modèle visible, sans chercher à innover. 3. Compare ton résultat au modèle et note les 3 plus gros écarts.","Reproduis seulement la moitié du modèle.","Reproduis le détail que tu jugeais « insignifiant » — c'est souvent lui qui fait la différence.","Tu apprends de l'intérieur. Chaque écart repéré est une leçon que tu n'aurais jamais lue dans un livre.","À venir","Non","",""
"250","Mois 9","Le journal d'erreurs","Apprentissage","Savoir","6","25 min","0 €","Créer un carnet où tu notes chaque erreur de pratique et la correction qu'elle t'impose. Tu t'en serviras au jour 261.","Une erreur oubliée se répète, une erreur écrite devient une leçon. Tenir un journal d'erreurs accélère la progression bien plus que collectionner ses réussites.","1. Ouvre une note ou un carnet dédié « Erreurs & corrections ». 2. Repense à tes dernières séances et inscris 3 erreurs récurrentes. 3. Pour chacune, écris la correction concrète à appliquer la prochaine fois.","Note une seule erreur et sa solution.","Relis ce journal avant chaque séance du mois pour ne jamais répéter le même raté deux fois.","Tu transformes la frustration en carburant. Tes échecs deviennent ta feuille de route.","À venir","Non","",""
"251","Mois 9","La pratique délibérée du point faible","Compétences","Savoir","6","40 min","0 €","Travailler exclusivement la sous-compétence où tu es le plus mauvais — pas celle que tu aimes.","On répète ce qu'on maîtrise déjà parce que c'est agréable. Mais le vrai progrès vit dans l'inconfort des points faibles que l'on évite soigneusement.","1. Identifie la sous-compétence qui t'agace ou que tu fuis. 2. Consacre toute la séance à elle seule, en répétant le geste difficile. 3. Mesure un mini-progrès chiffré entre le début et la fin de la séance.","Découpe le point faible en un seul micro-geste à dompter.","Reste sur le geste jusqu'à 3 réussites propres et consécutives.","Tu attaques par là où ça fait peur. Le point faible d'hier devient ta plus grosse marge de progrès.","À venir","Non","",""
"252","Mois 9","Sortir de la théorie : un projet concret","Productivité","Discipline","6","50 min","0 €","Lancer un mini-projet réel qui force à utiliser ta compétence pour de bon, avec un livrable fini.","Un projet avec un objectif final mobilise la compétence dans son vrai contexte, là où les exercices isolés restent abstraits. C'est là que l'apprentissage prend racine.","1. Définis un livrable concret et fini (un plat servi, une page créée, une chanson jouée en entier). 2. Découpe-le en 3 étapes réalisables. 3. Attaque la première étape aujourd'hui, sans attendre d'être « prêt ».","Réduis l'ambition du livrable pour le finir vite.","Annonce à quelqu'un la date de livraison de ton projet — l'engagement public te tiendra.","Tu donnes un but à ta pratique. Apprendre pour produire motive bien plus qu'apprendre pour apprendre.","À venir","Non","",""
"253","Mois 9","Le test à blanc, ta photo de départ","Confiance en soi","Courage","6","30 min","0 €","T'évaluer honnêtement, avec une **preuve enregistrée** (chrono, score, photo), pour figer ton niveau réel à mi-parcours.","Sans mesure, le progrès reste invisible et la motivation s'effrite. Un test à blanc daté te donne une base de comparaison objective — celle que tu retrouveras au jour 270.","1. Reprends ton objectif du jour 244 et conçois un mini-test qui le mesure. 2. Passe le test sans tricher et **garde une trace** (note chiffrée, photo, enregistrement). 3. Archive cette preuve datée : c'est ton « avant ».","Évalue-toi sur une seule sous-compétence.","Fais valider ton test par une personne tierce pour zéro complaisance.","Tu vois noir sur blanc d'où tu pars. La preuve datée rendra ton progrès indiscutable.","À venir","Non","",""
"254","Mois 9","Enseigner pour débusquer tes trous","Apprentissage","Savoir","7","40 min","0 €","Expliquer une partie de ta compétence à voix haute, comme un tuto, pour repérer ce que tu crois savoir mais ne maîtrises pas.","Enseigner révèle impitoyablement tes zones floues. Mettre en mots oblige à clarifier ce qui était confus dans ta tête — et chaque hésitation pointe un trou à combler.","1. Choisis un concept ou un geste appris ce mois-ci. 2. Explique-le à voix haute, en t'enregistrant comme pour un tutoriel. 3. Réécoute-toi et note chaque moment où tu as buté : ce sont tes trous de compréhension.","Explique le concept par écrit en 5 lignes maximum.","Explique-le sans aucune note ni support, d'une seule traite.","Tu découvres que comprendre et savoir expliquer sont deux niveaux — et tu viens de monter d'un cran.","À venir","Non","",""
"255","Mois 9","Demander un retour qui pique","Sortie de zone de confort","Courage","7","30 min","0 €","Montrer ton travail à quelqu'un de compétent et lui demander un retour critique honnête.","Les compliments rassurent mais n'apprennent rien. Un retour critique sollicité volontairement est l'un des accélérateurs de progrès les plus puissants — et les plus inconfortables.","1. Choisis une personne dont l'avis compte et qui sera franche. 2. Montre-lui ton travail et demande explicitement : « Qu'est-ce que j'améliorerais en priorité ? » 3. Écoute sans te justifier, note tout, remercie.","Demande un retour sur un seul aspect précis de ton travail.","Demande à deux personnes différentes et croise leurs critiques.","Tu désamorces ta peur du jugement en allant la chercher toi-même. La critique devient un outil, plus une menace.","À venir","Non","",""
"256","Mois 9","Le matériel imposé","Compétences","Savoir","7","45 min","0 €","Exécuter ta compétence avec un **outil ou un matériel différent** de celui que tu utilises d'habitude.","S'accrocher à son matériel fétiche masque ce qu'on ne maîtrise pas vraiment. Changer d'outil (autre instrument, autre logiciel, autre support, autres ingrédients) force le geste à exister par lui-même, indépendamment de tes béquilles.","1. Identifie l'outil dont tu te crois « dépendant ». 2. Refais un exercice connu avec un matériel emprunté, plus basique ou inhabituel. 3. Note ce qui s'effondre sans ton équipement préféré — c'est exactement là qu'est ta vraie marge de progrès.","Change un seul élément de ton matériel, pas tout.","Réalise ta production complète avec le matériel le plus rudimentaire que tu trouves.","Tu découvres ce qui tient à ta compétence et ce qui tenait à ton matériel. Ton geste gagne en autonomie.","À venir","Non","",""
"257","Mois 9","Apprendre une micro-compétence en cible 20/80","Expériences nouvelles","Création","7","45 min","0 €","Acquérir les bases **utilisables** d'une compétence totalement nouvelle, en ciblant uniquement l'essentiel.","Tu n'as pas besoin de 10 000 heures pour devenir fonctionnel. La plupart des compétences ont 20 % d'essentiel qui donnent 80 % du résultat. Le défi n'est pas d'y passer des heures, c'est de **trouver et isoler ce 20 %**.","1. Choisis une micro-compétence simple et utile (un nœud solide, un raccourci clavier, un accord, une recette). 2. Identifie le seul geste essentiel qui débloque le reste, ignore tout le superflu. 3. Pratique jusqu'à savoir le refaire seul, sans modèle sous les yeux.","Choisis une micro-compétence dont tu connais déjà un bout.","Choisis une compétence dont tu ignores tout, et trouve toi-même quel est son 20 % essentiel.","Tu prouves que tu apprends vite quand tu cibles l'essentiel. L'apprentissage cesse d'être intimidant.","À venir","Non","",""
"258","Mois 9","La pratique sous contrainte","Créativité","Création","7","45 min","0 €","T'imposer une contrainte forte qui te force à mobiliser ta compétence autrement.","La contrainte est le meilleur moteur de créativité et de maîtrise. Privé de tes réflexes habituels, tu découvres des ressources que le confort cachait.","1. Choisis une contrainte radicale (temps limité, un seul moyen autorisé, élément interdit). 2. Réalise une production sous cette contrainte, sans la contourner. 3. Observe quelles solutions inattendues elle t'a forcé à trouver.","Choisis une contrainte légère pour t'échauffer au principe.","Cumule deux contraintes incompatibles et débrouille-toi quand même.","Tu découvres que tes limites étaient des habitudes, pas des murs. Ta créativité s'élargit.","À venir","Non","",""
"259","Mois 9","Le rappel actif","Apprentissage","Savoir","7","30 min","0 €","Tester ta mémoire en restituant de tête tout ce que tu as appris, sans tes notes.","Relire donne l'illusion de savoir. Se forcer à se rappeler sans aide (rappel actif) est la méthode la plus efficace pour ancrer durablement une compétence.","1. Ferme tous tes supports et prends une feuille blanche. 2. Écris tout ce que tu retiens : règles, techniques, étapes, pièges. 3. Compare ensuite avec tes notes et surligne ce que tu avais oublié.","Fais le rappel sur une seule sous-compétence.","Refais ce rappel sans relire entre-temps, deux fois à 48 h d'écart.","Tu sais désormais ce que tu sais vraiment, et ce qui s'efface. Ta mémoire devient un atout maîtrisé.","À venir","Non","",""
"260","Mois 9","Pratiquer sous le regard d'inconnus","Social","Charisme","7","40 min","0 €","Exécuter ta compétence dans un **contexte social ouvert**, là où des inconnus peuvent te voir, te juger ou t'aborder.","Pratiquer seul protège ton ego ; pratiquer sous des regards inconnus le met à nu. Ce changement de contexte élève ton exigence et attire des retours, des conseils, parfois des opportunités inattendues.","1. Choisis un cadre où des inconnus seront présents (un parc, un atelier ouvert, un groupe, un live). 2. Pratique réellement devant eux, sans attendre d'être parfait. 3. Note l'effet du regard sur ton geste, et toute réaction ou conseil reçu.","Pratique dans un lieu public discret, sans chercher l'interaction.","Engage volontairement la conversation avec un inconnu présent sur ce que tu fais.","Tu transformes ta pratique solitaire en moteur social. Le regard des autres devient un allié, pas un frein.","À venir","Non","",""
"261","Mois 9","Refaire ta pire production avec 3 corrections","Compétences","Savoir","7","45 min","0 €","Reprendre ta **pire production du mois** et la refaire en appliquant 3 corrections de ton journal d'erreurs, puis mesurer l'écart.","Un raté qu'on fuit reste un raté ; un raté qu'on reprend devient une preuve de progrès. Affronter ta plus mauvaise pièce, corrections en main, transforme ta honte d'hier en saut visible — et valide que ton journal d'erreurs (jour 250) sert vraiment.","1. Ressors la production dont tu es le moins fier ce mois-ci. 2. Choisis 3 corrections précises dans ton journal d'erreurs et applique-les en la refaisant. 3. Pose l'ancienne et la nouvelle version côte à côte et note l'écart, concrètement.","Applique une seule correction, sur le défaut le plus criant.","Refais-la sans relire l'ancienne version, de mémoire des seules corrections, puis compare les trois.","Tu vois, pièce contre pièce, le chemin parcouru. Ton pire essai devient ton meilleur indicateur de progrès.","À venir","Non","",""
